episode,score,timestep
900,1,69035
901,0,69119
902,0,69202
903,0,69239
904,0,69313
905,0,69391
906,0,69465
907,1,69629
908,0,69703
909,2,69962
910,0,70069
911,0,70169
912,0,70243
913,0,70325
914,0,70406
915,0,70485
916,0,70579
917,0,70653
918,0,70727
919,1,70891
920,1,71059
921,0,71133
922,1,71302
923,1,71476
924,0,71552
925,1,71716
926,1,71883
927,1,72047
928,0,72131
929,1,72322
930,1,72486
931,1,72650
932,0,72742
933,0,72825
934,0,72907
935,0,72981
936,2,73260
937,1,73427
938,0,73464
939,1,73645
940,3,73991
941,1,74156
942,2,74425
943,2,74680
944,0,74778
945,2,75038
946,0,75112
947,1,75285
948,0,75379
949,2,75646
950,0,75746
951,0,75820
952,2,76075
953,2,76351
954,0,76435
955,1,76599
956,1,76763
957,0,76855
958,1,77037
959,0,77111
960,1,77285
961,1,77449
962,0,77546
963,1,77710
964,3,78056
965,0,78130
966,2,78385
967,2,78640
968,0,78731
969,0,78813
970,1,78999
971,2,79267
972,0,79358
973,2,79634
974,1,79832
975,0,79914
976,3,80260
977,4,80697
978,0,80771
979,1,80935
980,14,82282
981,0,82381
982,0,82472
983,2,82743
984,0,82844
985,0,82918
986,0,83010
987,1,83174
988,0,83257
989,1,83426
990,0,83500
991,0,83593
992,22,85669
993,4,86110
994,0,86216
995,3,86573
996,4,87021
997,3,87400
998,5,87932
999,2,88208
1000,3,88583
1001,4,89046
1002,0,89144
1003,1,89308
1004,4,89760
1005,3,90111
1006,14,91467
1007,2,91723
1008,13,92979
1009,19,94809
1010,3,95173
1011,51,99921
